zipf,ctx,execution_time_us
0.8,0.0,22036040
0.8,0.0,19485994
0.8,0.0,20005183
0.8,0.0,23911141
0.8,0.0,22126375
0.8,0.0,25783405
0.8,0.0,20906659
0.8,0.0,23599301
0.8,0.0,24455580
0.8,0.0,19989389
0.8,0.0,20872299
0.8,0.0,20561621
0.8,0.04,17639738
0.8,0.04,19350974
0.8,0.04,19647270
0.8,0.04,25773648
0.8,0.04,25462295
0.8,0.04,26657596
0.8,0.04,25686974
0.8,0.04,29592286
0.8,0.04,30057577
0.8,0.08,21117516
0.8,0.08,19212866
0.8,0.08,18076475
0.8,0.08,17748585
0.8,0.08,20791786
0.8,0.08,19159587
0.8,0.08,23701279
0.8,0.08,19829319
0.8,0.08,26093028
0.8,0.12,21631247
0.8,0.12,21192068
0.8,0.12,22957170
0.8,0.12,22625745
0.8,0.12,22861581
0.8,0.12,18562604
0.8,0.12,20270928
0.8,0.12,19379307
0.8,0.12,20612830
0.8,0.12,21210719
0.8,0.16,19447046
0.8,0.16,25396288
0.8,0.16,19138500
0.8,0.16,25939107
0.8,0.16,22549716
0.8,0.16,26781690
0.8,0.16,20608083
0.8,0.16,20253409
0.8,0.16,20388886
0.8,0.16,23706795
0.8,0.2,22199092
0.8,0.2,20458163
0.8,0.2,19081793
0.8,0.2,21825184
0.8,0.2,20681101
0.8,0.2,29281890
0.8,0.2,28291967
0.8,0.2,27604476
0.8,0.2,26092730
0.8,0.2,28498793
0.8,0.2,27938209
0.8,0.2,27534480
0.8,0.2,25010803
0.8,0.2,25666387
0.8,0.2,26245725
1,0.0,24584844
1,0.0,27166502
1,0.0,29834832
1,0.0,29707942
1,0.0,31092511
1,0.0,27320775
1,0.0,29684451
1,0.0,29755021
1,0.04,26774656
1,0.04,25998931
1,0.04,31048014
1,0.04,32371830
1,0.04,33653484
1,0.04,33589261
1,0.04,33653894
1,0.04,27564186
1,0.08,30394883
1,0.08,34907646
1,0.08,34306659
1,0.12,32262703
1,0.12,34741223
1,0.12,30740408
1,0.12,31354345
1,0.12,27467391
1,0.12,32258307
1,0.12,32795688
1,0.12,34566756
1,0.12,34984327
1,0.12,29956689
1,0.12,30302081
1,0.12,30968670
1,0.16,33630323
1,0.16,34332028
1,0.16,34542203
1,0.16,35036670
1,0.16,36373293
1,0.16,37112436
1,0.16,30195113
1,0.16,33756496
1,0.16,32800630
1,0.16,30621794
1,0.16,32172904
1,0.16,32506959
1,0.16,33553191
1,0.16,36360400
1,0.16,31130220
1,0.16,35493851
1,0.16,35397873
1,0.16,36619567
1,0.16,33365453
1.2,0.0,27324912
1.2,0.0,34324590
1.2,0.0,34251021
1.2,0.0,35383392
1.2,0.0,34726650
1.2,0.0,35823947
1.2,0.0,33423404
1.2,0.0,33171725
1.2,0.0,33772282
1.2,0.04,35428997
1.2,0.04,36882826
1.2,0.04,36338906
1.2,0.04,36756942
1.2,0.04,37125281
1.2,0.04,35337305
1.2,0.04,36079638
1.2,0.04,36258721
1.2,0.04,37183781
1.2,0.04,37813138
1.2,0.08,36166319
1.2,0.08,35399564
1.2,0.08,35645707
1.2,0.08,36157901
1.2,0.08,35343624
1.2,0.08,35884560
1.2,0.08,36058865
1.2,0.08,36382899
1.2,0.08,36934322
1.2,0.08,37524301
1.2,0.12,34307214
1.2,0.12,34701032
1.2,0.12,34869159
1.2,0.12,35244261
1.2,0.12,35232402
1.2,0.12,35038257
1.2,0.12,35406107
1.2,0.12,35232695
1.2,0.12,36539592
1.2,0.12,35956832
1.2,0.16,35627730
1.2,0.16,36332615
1.2,0.16,35542333
1.2,0.16,36915046
1.2,0.16,37017958
1.2,0.16,33360634
1.2,0.16,33222682
1.2,0.16,33837756
1.2,0.16,34690445
1.2,0.16,34696703
1.2,0.2,33770852
1.2,0.2,34705326
1.2,0.2,35300018
1.2,0.2,34306360
1.2,0.2,35824796
1.2,0.2,35652532
1.2,0.2,36310619
1.2,0.2,36527513
1.2,0.2,36900933
1.2,0.2,36418296
